assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage
1922,1331406,5899,immortal,1401,7627,432,6895,1398871
1919,1124237,4520,immortal,1185,6092,346,5489,1149212
1919,916050,3142,immortal,1047,4549,332,4913,882366
1918,1205899,4874,immortal,1232,6940,413,6300,1304347
1917,1126927,5353,immortal,1233,7091,377,5934,1329587
1916,1048176,4230,immortal,1281,5797,356,5553,1084290
1911,1243400,4988,immortal,1459,6737,374,6328,1303173
1898,903119,3556,immortal,963,4809,309,4676,931849
1895,1235515,5398,immortal,1473,6857,405,6549,1274849
1895,1173526,3888,immortal,1235,6335,377,6189,1183258
1893,1117458,4012,immortal,1128,6176,371,5744,1189888
1891,1385608,5905,immortal,1432,8270,450,6937,1523073
1889,1219788,4638,immortal,1321,6422,389,6500,1196995
1886,978985,4045,immortal,1151,5571,327,5137,1046548
1882,906638,3124,immortal,1075,4748,300,4752,886018
1882,864312,3221,immortal,911,4846,318,4695,936392
1881,1170980,5147,immortal,1264,6819,401,6190,1235468
1880,1007325,3969,immortal,1212,4950,354,5391,946030
1877,949201,3478,immortal,1068,4981,309,5022,954779
1877,1155801,4894,immortal,1347,6226,368,6153,1161983
1876,968792,3495,immortal,1091,5031,334,5095,932902
1875,1212720,5016,immortal,1399,6968,378,6213,1255314
1875,1178223,4963,immortal,1328,6524,370,6021,1209248
1874,858772,3362,immortal,947,4711,286,4463,907046
1873,1304284,5115,immortal,1314,6979,424,6683,1294674
1871,1074335,4013,immortal,1298,5599,372,5695,1070654
1870,1020957,3934,ascendant,1125,5642,335,5407,1067688
1870,938657,3265,immortal,939,5056,323,4896,941059
1868,982616,3650,immortal,1196,5071,275,4939,942331
1865,950027,3518,immortal,977,5504,351,4957,1042592
1864,980129,4028,immortal,1071,5821,333,5095,1068572
1863,1077661,4307,immortal,1411,6024,337,5694,1105538
1860,1384772,5329,immortal,1515,7076,444,7343,1326148
1859,1031129,3899,immortal,1123,5849,342,5389,1092401
1858,1051223,4047,immortal,1137,5645,333,5440,1063930
1858,1187917,3697,immortal,1427,6304,387,6233,1188843
1857,1162493,4428,immortal,1375,5806,384,6047,1129441
1857,1236288,6261,immortal,1234,7864,414,6419,1472551
1855,1037788,3355,immortal,1070,6069,366,5301,1158864
1855,1200852,5224,immortal,1331,6833,400,6343,1255965
1848,1112915,3756,immortal,1138,5505,362,5652,1046278
1847,1084220,3986,immortal,1296,5732,363,5751,1055555
1846,1052765,4389,immortal,1141,6329,352,5498,1218215
1844,913666,3473,immortal,1005,4978,308,4831,943333
1838,1069470,3754,immortal,1165,5588,366,5706,1095880
1838,1356997,5308,ascendant,1405,6868,416,7017,1283449
1834,906634,3397,immortal,935,4643,301,4654,909322
1828,970712,4103,immortal,1141,5608,299,5045,1058494
1826,1363989,6294,immortal,1497,7766,438,7326,1454374
1826,1082401,4144,immortal,1064,5980,347,5578,1125348
1825,1266350,3950,immortal,1519,6742,392,6588,1251545
1824,1047911,4496,immortal,1208,6257,342,5434,1142014
1823,1175563,4222,immortal,1356,5993,359,6228,1130948
1822,1308620,5382,immortal,1460,7161,427,6864,1387328
1821,1009971,3449,immortal,1155,4888,308,5127,928090
1820,947966,3574,immortal,1125,5071,317,4960,942836
1817,856765,3438,immortal,916,4792,300,4470,922420
1817,1188578,3918,immortal,1266,5940,383,6212,1120512
1810,915187,4113,immortal,1070,5008,299,4817,946974
1809,1096220,3599,immortal,1346,5612,345,5580,1048920
1808,1221029,5119,immortal,1334,6498,389,6171,1207823
1806,1212908,6051,immortal,1315,7497,372,6360,1384026
1804,1011248,4031,immortal,1224,6005,325,5339,1113772
1802,1070089,4333,immortal,1184,5907,379,5740,1117300
1799,960131,3865,immortal,1013,5673,323,5007,1063215
1793,1289807,5568,immortal,1502,7047,401,6655,1296826
1786,1187910,4506,immortal,1319,6149,358,5861,1198727
1785,1176980,3869,immortal,1615,5827,381,6123,1112045
1785,1130216,3824,immortal,1469,5494,342,5898,1054623
1784,1046428,5119,immortal,1046,6353,339,5307,1197571
1782,1154814,4212,ascendant,1272,7122,395,6054,1320501
1781,1004121,4363,immortal,1206,5710,335,5256,1063052
1779,1071653,4662,immortal,1272,6119,339,5609,1159252
1777,1020277,4135,immortal,1184,5722,334,5306,1069064
1775,1214050,4966,immortal,1327,6623,356,6238,1249359
1773,978508,3777,immortal,1149,4873,317,5127,920193
1773,848059,3166,immortal,761,4788,314,4490,908873
1771,1068041,4004,immortal,1175,5611,349,5574,1069753
1769,1264821,4830,immortal,1349,6674,406,6825,1262912
1768,918650,3528,immortal,1126,4670,296,4710,896484
1761,1042649,4191,immortal,1187,5783,359,5464,1084814
1760,861449,3772,immortal,868,4791,310,4526,907071
1760,952356,4214,immortal,1011,5441,322,4987,1040833
1757,1081175,3481,immortal,1255,5853,347,5484,1117928
1757,951627,3434,immortal,959,4988,313,5069,940738
1755,904126,3524,immortal,858,4877,319,4902,917754
1754,1010178,5146,immortal,1330,6944,307,5145,1302704
1754,1052471,4380,immortal,1238,5935,343,5492,1140936
1753,1333177,5518,immortal,1746,7290,414,6981,1367203
1751,926040,3708,immortal,976,5101,312,4704,952508
1751,1089497,3933,immortal,1344,5687,355,5649,1077993
1746,920315,3464,immortal,1050,4764,285,4876,903690
1745,1118283,3611,immortal,1273,6297,354,5646,1102684
1743,942911,3566,immortal,1179,4789,306,5004,932215
1739,957399,3529,immortal,1085,5035,314,5102,918964
1736,1124881,3565,immortal,1304,5592,355,6070,1106395
1736,1171534,4249,immortal,1243,6415,386,6230,1214126
1735,1171249,4483,immortal,1298,5791,363,5915,1068691
1735,1419536,6738,immortal,1408,8049,491,7465,1531217
1735,851466,3811,immortal,909,5083,295,4408,939245
1733,1069939,3876,immortal,1181,5798,339,5625,1121260
1732,1090473,3883,immortal,1069,5899,364,5627,1110922
1732,857014,3393,immortal,941,4579,282,4382,898840
1731,862820,3151,immortal,809,4579,324,4631,896625
1731,1007700,3845,immortal,1184,5549,322,5291,1063135
1727,955131,3380,immortal,1028,4823,301,4921,914645
1727,1167709,4417,immortal,1325,6042,368,6170,1117495
1719,1119556,5210,immortal,1266,6523,364,5681,1209670
1717,975366,3530,immortal,1221,4793,308,5136,914005
1715,932565,3524,immortal,1161,5040,301,4863,950655
1710,1119308,4694,immortal,1449,6481,351,5789,1202747
1709,1374075,6846,immortal,1489,8274,430,6970,1551569
1709,931979,3370,immortal,1027,5576,304,4763,1062184
1709,957870,4241,immortal,1012,5562,334,5062,1046590
1708,1102877,4565,immortal,1005,6064,346,5618,1156756
1708,939876,3983,immortal,972,5697,324,4816,1082675
1707,1062190,4333,immortal,1069,5818,330,5557,1097196
1704,931747,3944,immortal,1022,5771,300,4732,1046742
1704,1168305,4756,immortal,1323,6418,374,6144,1212873
1696,936356,3454,immortal,1083,4849,321,4888,928560
1696,1111881,4047,immortal,1279,5772,379,5959,1079671
1695,1017790,4552,immortal,1153,5756,354,5275,1084539
1694,1062289,4209,immortal,1105,5985,363,5611,1123018
1692,1075932,5333,immortal,1207,6373,364,5603,1184814
1688,902419,3536,immortal,790,5059,330,4703,940270
1688,1076237,4726,immortal,1225,5865,342,5658,1102654
1681,903420,3176,immortal,1081,4803,277,4648,915716
1679,1069991,5971,immortal,1322,7464,357,5585,1337959
1678,993910,4470,immortal,991,5722,318,5188,1076766
1677,901717,3280,immortal,947,4679,278,4469,895740
1674,1092567,3899,immortal,1389,5787,359,5834,1087966
1670,920524,3241,immortal,1073,4756,298,4778,910419
1669,1093342,3440,immortal,1231,4910,327,5424,926133
1668,956098,4295,immortal,1119,5468,303,4883,1059059
1666,1037500,4082,immortal,1066,5758,343,5431,1104073
1665,1067027,4566,immortal,1307,6143,349,5641,1147916
1661,1098466,4518,ascendant,1354,5909,353,5676,1109277
1661,855748,3599,immortal,856,4795,304,4573,902308
1660,999553,3687,immortal,1065,5037,327,5153,940603
1655,927343,4499,immortal,1018,5956,321,4820,1102097
1654,956156,3543,immortal,1085,5030,321,5073,915680
1650,967631,3441,immortal,1295,5177,308,4963,946242
1649,942909,3831,immortal,1020,4971,323,4978,931071
1648,955225,4667,immortal,1032,6498,331,4880,1218137
1646,1119928,4136,immortal,1160,5927,381,5723,1094270
1645,897998,3251,immortal,887,4841,299,4498,889094
1643,1242421,5163,immortal,1172,6956,401,6291,1301237
1643,1038566,4226,immortal,1170,5737,349,5509,1062136
1640,1108693,4881,immortal,1293,6087,351,5785,1130374
1638,1165989,4616,immortal,1307,6215,363,6016,1151673
1638,916521,3264,immortal,1135,4620,291,4724,896948
1637,1299826,5890,immortal,1564,7107,416,6849,1367132
1636,943910,3759,immortal,866,4906,332,4978,919690
1634,1165578,5034,ascendant,1184,7189,380,6129,1308746
1633,945837,3870,immortal,1182,5595,294,4921,1057107
1633,1092303,5228,immortal,1398,6530,352,5582,1241905
1625,998287,5229,immortal,1222,6609,327,5187,1219575
1624,944164,3523,immortal,1078,4842,313,4850,920404
1623,1091562,4357,immortal,1156,6003,345,5582,1149228
1622,1195758,5325,immortal,1389,6767,378,6366,1278351
1621,987318,3535,immortal,1018,4932,304,5110,936760
1620,903111,4655,immortal,952,5651,337,4752,1066417
1618,1129456,3452,immortal,1140,6110,359,5773,1154997
1618,1036088,4438,immortal,1209,5944,366,5547,1087958
1616,1058935,4551,immortal,1080,5970,362,5582,1119618
1614,1021616,3545,immortal,1231,5003,334,5385,920865
1611,1066071,3681,immortal,945,5706,330,5324,1055870
1610,1084286,5012,immortal,1089,6381,344,5364,1203486
1606,996701,4591,immortal,1211,6013,315,5064,1145348
1604,966556,3421,immortal,1061,4957,316,5184,937906
1598,1104107,4495,immortal,1143,6525,374,5843,1230364
1596,1079535,4987,immortal,1311,6119,312,5648,1142360
1582,970941,3588,immortal,1108,5599,324,4867,1055865
1579,914565,3747,immortal,881,5147,282,4672,935502
1578,1019024,4953,immortal,1258,6259,336,5382,1152968
1576,966110,3839,immortal,1106,5121,306,4957,954862
1574,1091611,4745,immortal,1213,7034,372,5649,1291506
1570,865102,3654,immortal,977,4833,264,4514,898944
1570,1047751,4611,immortal,1020,6327,358,5474,1178163
1569,1085499,4272,immortal,1265,6048,337,5782,1148808
1568,1088252,3907,immortal,1039,6052,360,5559,1151783
1567,950739,3943,immortal,1123,5647,312,4895,1072540
1565,953448,4406,immortal,1130,5740,302,5050,1078508
1561,905129,3803,immortal,1235,5007,300,4810,932357
1561,1258465,5145,immortal,1227,6575,421,6579,1232948
1560,1136441,3891,immortal,1178,5720,384,6030,1080226
1555,864511,4216,immortal,1106,5737,297,4468,1062820
1555,982695,3511,immortal,1214,5196,297,5038,943526
1549,966678,3372,immortal,1085,5715,315,5046,1049198
1548,1030228,3964,immortal,1161,5951,339,5473,1098300
1548,1200609,5681,immortal,1182,7470,393,6355,1362338
1546,850763,3328,immortal,910,4906,258,4411,905420
1544,970768,3185,immortal,1245,4878,303,4932,893360
1540,1143749,4913,immortal,1103,5985,354,5836,1130587
1537,985716,4708,immortal,1176,5765,344,5319,1072959
1536,867625,3447,immortal,1021,4628,289,4499,893331
1535,1359610,4837,ascendant,1513,6953,428,7317,1261778
1535,855031,3819,immortal,765,5126,284,4423,954965
1534,956607,3820,immortal,1126,5209,295,4826,950261
1533,1016266,4112,immortal,1211,5538,317,5139,1042781
1529,856902,3497,immortal,1041,4820,269,4451,930445
1527,912876,3661,immortal,1121,4999,298,4888,929235
1526,1257446,5324,immortal,1307,7223,420,6725,1299237
1524,1009534,3808,immortal,1224,5933,344,5209,1100697
1524,1390460,4263,immortal,950,9469,526,6929,1675662
1521,1120091,6510,immortal,1381,7565,368,5724,1381201
1520,985769,3582,immortal,1237,6192,311,5177,1074297
1509,966210,4010,immortal,1074,5172,309,4842,941584
1507,940196,3640,immortal,1103,4934,274,4820,931957
1506,932296,4358,immortal,1098,5664,309,4743,1053860
1504,1066323,3972,immortal,1239,5823,321,5465,1058648
1504,1408339,8118,immortal,1431,9056,498,7455,1657756
1503,925515,3164,immortal,1038,4781,297,4873,922002
1501,1128733,4309,immortal,1199,6016,368,5893,1109781
1500,912326,3733,immortal,1028,5037,275,4802,931556
1500,1028695,5177,immortal,1038,6216,356,5379,1191976
1499,1003884,4170,immortal,1184,6057,331,5095,1146715
1497,986638,4908,immortal,976,5876,313,5097,1096548
1496,1331669,5747,immortal,1704,6979,422,7061,1301207
1491,1046644,4168,immortal,971,5850,338,5112,1082846
1486,1008816,4276,immortal,1045,5593,334,5296,1047013
1485,956275,3687,immortal,1096,4999,323,5080,946002
1481,925878,4101,immortal,1034,5160,271,4785,935949
1481,932295,4376,immortal,1057,5695,311,4879,1045414
1480,917236,3213,immortal,848,4928,289,4761,923459
1479,1152790,5585,immortal,1272,7020,376,6125,1334512
1475,1225804,4812,immortal,1286,6555,414,6439,1209774
1469,927238,3881,immortal,1028,4613,293,4550,884445
1462,904296,3195,immortal,1050,4835,296,4790,911602
1461,948415,4177,immortal,909,5978,326,4927,1106611
1459,924458,4056,immortal,1025,4935,306,4814,920997
1459,938699,3531,immortal,1131,5023,286,4914,905911
1458,1137719,5225,immortal,1505,6936,354,5978,1307179
1454,927757,4045,immortal,1120,5022,308,4954,912298
1452,915943,3507,immortal,1065,4647,318,4863,877997
1450,1045848,3862,immortal,1147,5907,350,5524,1055517
1444,856298,3184,immortal,922,4891,303,4428,925172
1442,1101380,6360,immortal,1008,7221,389,5772,1335842
1442,1003110,4217,ascendant,919,5702,322,5306,1071151
1434,1137407,4882,immortal,1134,6713,386,5970,1262789
1429,1075011,4600,immortal,1239,5989,350,5597,1101145
1429,1001714,4576,immortal,1088,6256,325,5163,1143549
1426,922137,4360,immortal,953,5818,312,4876,1068762
1424,1033290,5259,immortal,1086,6622,352,5428,1219308
1422,849739,3605,immortal,835,4855,297,4397,910303
1420,979204,4418,immortal,1195,5777,318,5049,1086802
1417,999931,4036,immortal,1114,6110,319,5041,1144470
1411,974133,3877,immortal,1187,5613,314,5148,1052169
1407,971164,4543,immortal,1166,6360,318,4977,1182159
1406,926281,3327,immortal,1093,4813,305,4887,897455
1403,985286,4777,immortal,1106,6251,355,5291,1155931
1400,1050565,3970,immortal,1282,5681,314,5496,1055428
1398,1056313,4450,immortal,1255,5757,343,5588,1086637
1397,1061880,3659,immortal,981,5978,361,5623,1099839
1397,921894,3758,immortal,956,4937,307,4730,900548
1395,1063762,4561,immortal,1004,6793,333,5441,1269703
1394,978655,4319,immortal,982,5963,318,5031,1108249
1393,1212915,5028,immortal,1501,6865,377,6285,1249466
1391,938043,3758,immortal,1126,4841,291,4741,947389
1388,864208,3573,immortal,1052,4741,279,4567,899974
1386,1338279,5879,immortal,1553,6724,418,7063,1247248
1379,899661,3155,immortal,1014,4757,271,4691,927324
1376,950143,4121,immortal,1134,5832,315,4988,1099301
1376,940581,4181,immortal,976,5719,306,4889,1063392
1373,949788,3747,immortal,1201,5192,314,4927,952217
1370,1055412,4423,immortal,1077,6101,350,5591,1146987
1369,910006,3363,immortal,924,4970,278,4725,909056
1367,957425,3874,immortal,1105,5732,337,5104,1071656
1365,865418,3699,immortal,891,4829,293,4389,906099
1363,1024153,4180,ascendant,1136,6062,328,5391,1136387
1355,919783,4612,immortal,1083,5583,303,4968,1048613
1352,995723,5457,immortal,988,6502,339,5326,1254299
1340,1227710,5120,immortal,1454,6834,387,6516,1280597
1335,990311,3759,immortal,991,5572,325,5141,1039582
1332,1062482,5451,immortal,1050,6236,347,5639,1147794
1331,1051313,5031,immortal,1108,6403,353,5415,1230142
1331,1277874,6315,immortal,1157,9064,434,6461,1651308
1330,898137,3471,immortal,891,4955,308,4644,942410
1328,1035415,3869,immortal,1271,5834,323,5381,1073662
1328,911082,3332,immortal,1045,4679,303,4646,879948
1321,990442,3349,immortal,1328,4915,302,5243,906357
1317,900270,3709,immortal,954,5127,298,4883,947693
1313,856404,3719,immortal,940,4905,281,4454,908994
1311,926320,3887,immortal,940,5220,325,4815,947612
1311,1258769,4626,immortal,1391,7130,393,6606,1322648
1311,1172353,5735,immortal,1293,7072,381,6216,1303692
1309,1080886,4399,immortal,1167,6348,347,5681,1133234
1304,1139822,7185,immortal,1300,8441,402,5930,1556936
1291,916688,3885,immortal,1128,4843,271,4732,897198
1286,856644,3624,immortal,793,4983,282,4245,955888
1278,1129744,4944,immortal,1215,6379,337,5690,1181245
1276,999614,3832,immortal,1068,5080,305,4963,957683
1275,963096,3938,immortal,1039,5834,323,4959,1094749
1271,851587,3425,immortal,835,4750,281,4446,880269
1267,904975,3593,immortal,1123,4939,289,4608,901049
1264,1108563,5236,immortal,1091,5871,355,5867,1122995
1263,929840,4359,immortal,956,5655,320,4986,1046706
1245,915338,3332,immortal,1069,4954,303,4873,956588
1242,945318,4076,immortal,1046,5435,330,4987,1039369
1240,858627,3311,immortal,1041,5013,286,4533,918770
1240,1017519,4357,immortal,915,5664,316,5189,1044432
1236,944264,4417,immortal,902,5729,297,4809,1089188
1208,902339,4007,immortal,1174,5025,306,4772,944468
1205,996812,5992,immortal,959,6469,344,5240,1182783
1204,901891,3742,immortal,1095,4916,292,4773,918338
1197,936363,3369,immortal,941,4865,293,4848,933758
1193,1099610,7356,immortal,1078,8125,368,5726,1476112
1181,857730,3587,immortal,945,5017,283,4442,908961
1170,1065979,5181,immortal,1344,6912,356,5633,1275604
1168,918266,5103,immortal,862,6194,318,4768,1150135
1158,1083231,4083,immortal,1257,5883,354,5728,1104797
1155,860731,3622,immortal,843,4848,261,4321,901858
1138,901591,4032,immortal,1033,5047,277,4675,935188
