assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage
1809,1150946,4535,ascendant,1317,6172,378,6088,1161633
1807,1175133,4825,ascendant,970,6774,412,5884,1296530
1804,1071594,4674,ascendant,1299,6064,334,5681,1133002
1784,1152923,4088,immortal,1123,6282,391,5944,1155339
1780,1374753,5590,immortal,1406,7253,443,7200,1351228
1775,1214418,4466,ascendant,1414,6274,398,6345,1201848
1775,1145202,4014,ascendant,1088,6004,368,6035,1103265
1772,1162265,4193,ascendant,1138,6390,359,5937,1209736
1771,1065223,4306,ascendant,1137,5909,356,5536,1128241
1770,1111071,4643,ascendant,1371,6228,337,5817,1195721
1766,1179341,4587,ascendant,1230,6461,349,6135,1197183
1760,1382263,6367,ascendant,1328,7577,457,7244,1430941
1760,1381097,4719,ascendant,1655,6984,421,7145,1260306
1755,1154333,4291,ascendant,1335,5967,371,5953,1074776
1751,1193666,5036,diamond,1257,6551,378,6067,1209412
1749,1140544,4729,ascendant,1155,6048,342,5867,1153654
1748,1099288,4295,ascendant,1192,5706,372,5810,1086010
1747,1132904,4189,ascendant,1278,6103,340,5948,1129477
1747,1166525,5025,ascendant,1063,7348,383,6097,1330379
1747,1080328,3923,ascendant,1059,5827,357,5648,1098373
1744,1189228,4380,ascendant,1101,6455,378,6183,1177254
1742,1349935,4987,ascendant,1193,7472,419,6890,1434048
1740,1235627,5058,ascendant,1330,6536,358,6252,1235044
1740,1179767,4951,ascendant,1174,6986,379,6144,1319795
1735,1098719,4287,diamond,1193,5777,348,5680,1082853
1733,1085977,4443,ascendant,1212,5606,331,5631,1068392
1729,1062754,4227,ascendant,1117,5836,336,5617,1112614
1718,1156083,4333,ascendant,865,6374,375,5578,1226110
1718,1092491,4307,ascendant,1136,6287,367,5669,1171955
1713,1191623,4696,diamond,1372,6059,356,6195,1137759
1708,1134081,4513,ascendant,1091,6189,380,5888,1103949
1702,1217721,4580,diamond,1263,6079,363,6277,1143828
1702,1154621,4594,ascendant,1226,6233,360,5979,1188627
1699,1119208,3914,immortal,1131,5505,379,5822,1050681
1695,1166930,4479,ascendant,1237,6137,373,6197,1142790
1692,1180706,4446,ascendant,1377,6412,374,6065,1218126
1691,1355870,6316,ascendant,1294,8412,406,7020,1591528
